Body ID,articleBody
69,"Zendaya Maree Stoermer Coleman  ( born September 1 , 1996 )  , known mononymously as Zendaya  (  [ zɛnˈdeɪ.ə ]  )  , is an American actress , singer , and dancer ."
70,"A mixtape  ( also mix-tape or mix tape )  is a home-made compilation of music  ( typically copyrighted songs taken from other sources )  recorded in a specific order , traditionally onto a cassette tape , though later replaced by CD or MP3 playlist formats ."
71,"After beginnings in dance and modeling , she turned her attention to acting , and made her American acting debut  ( and came to prominence in what would be a Golden Globe -- nominated role )  in her portrayal of Tonya in David Lean 's Doctor Zhivago  ( 1965 )  ."
72,"Hayden Leslie Panettiere  ( born August 21 , 1989 )  is an American actress , model , singer , and activist ."
73,"In 2012 , the book received an Alex Award from the Young Adult Library Services Association division of the American Library Association and won the 2012 Prometheus Award ."
74,"William McKinley Jr.  ( January 29 , 1843 -- September 14 , 1901 )  was an American politician and lawyer who served as the 25th President of the United States from March 4 , 1897 until his assassination in September 1901 , six months into his second term ."
75,It is the 56th Disney animated feature film .
76,"Michael Joseph Jackson  ( August 29 , 1958 -- June 25 , 2009 )  was an American singer , songwriter , record producer , dancer , actor , and philanthropist ."
77,"Roger Keith `` Syd '' Barrett  ( 6 January 1946 -- 7 July 2006 )  was a British musician , composer , singer-songwriter , and painter ."
78,"Jerrald King `` Jerry '' Goldsmith  ( February 10 , 1929July 21 , 2004 )  was an American composer and conductor most known for his work in film and television scoring ."
79,"A co-production of the United Kingdom and Germany , the film was nominated for the Palme d'Or at the 2013 Cannes Film Festival ."
80,"Stone Temple Pilots  ( sometimes abbreviated as STP )  are an American rock band from San Diego , California , that originally consisted of Scott Weiland  ( lead vocals )  , brothers Dean  ( guitar )  and Robert DeLeo  ( bass , backing vocals )  , and Eric Kretz  ( drums )  ."
81,"The album features contributions from the reggae production duo Sly and Robbie and is a departure from Jones ' earlier disco sound , moving towards a new wave-reggae direction ."
82,"From the Earth to the Moon is a twelve-part HBO television miniseries  ( 1998 )  co-produced by Ron Howard , Brian Grazer , Tom Hanks , and Michael Bostick , telling the story of the landmark Apollo expeditions to the Moon during the 1960s and early 1970s in docudrama format ."
83,"Uruguay also won the 1980 Mundialito , a tournament among former World Cup champions ."
84,"Willie Hugh Nelson  ( born April 29 , 1933 )  is an American musician , singer , songwriter , author , poet , actor , and activist ."
85,"He made one of his earliest film roles in the mid-1980s , before he starred in Cameron Crowe 's film Say Anything ...  ( 1989 )  , for which he gained teen idol status ."
86,"Neal Joseph Schon  ( born February 27 , 1954 )  is an American rock guitarist , songwriter , and vocalist , best known for his work with the bands Journey and Bad English ."
87,An investment fund is a way of investing money alongside other investors in order to benefit from the inherent advantages of working as part of a group .
88,"Iraq  (  [ ɪˈræk ]  ,  [ ɪˈrɑːk ]  , or  [ aɪˈræk ]  العراق ; عێراق )  , officially known as the Republic of Iraq is a country in Western Asia , bordered by Turkey to the north , Iran to the east , Kuwait to the southeast , Saudi Arabia to the south , Jordan to the southwest , and Syria to the west ."
89,"Avatar : The Last Airbender is set in an Asiatic-like world in which some people are able to manipulate the classical elements by use of psychokinetic variants of Chinese martial arts , known as `` bending '' ."
90,"He is best known as the lead guitarist of the American rock band Guns N ' Roses , with whom he achieved worldwide success in the late 1980s and early 1990s ."
91,"Paul Samuel Feig  (  [ ˈfiːɡ ]  born September 17 , 1962 )  is an American actor , film director , producer , and screenwriter ."
92,"In 2016 , AWS comprised more than 70 services spanning a wide range including compute , storage , networking , database , analytics , application services , deployment , management , mobile , developer tools , and tools for the Internet of Things ."
93,"David Robert Joseph Beckham ,  (  [ ˈbɛkəm ]  born 2 May 1975 )  is an English former professional footballer ."
94,"Watchmen is an American comic-book limited series published by DC Comics in 1986 and 1987 , and collected in 1987 ."
95,"One by One is the fourth studio album by American rock band Foo Fighters , released on October 22 , 2002 by RCA ."
96,"Rock music is a genre of popular music that originated as `` rock and roll '' in the United States in the early 1950s , and developed into a range of different styles in the 1960s and later , particularly in the United Kingdom and the United States ."
97,"Antonio Lucio Vivaldi  (  [ anˈtɔːnjo ˈluːtʃo viˈvaldi ]  ; 4 March 1678 -- 28 July 1741 )  was an Italian Baroque composer , virtuoso violinist , teacher and cleric ."
98,"He is best known for his vlogs , where he posts updates about his life on a daily basis ."
99,"During pre-production , Raimi originally wanted another villain to be included along with Sandman , but at the request of producer Avi Arad he added Venom , and the producers also requested the addition of Gwen Stacy ."
100,He was knighted by Queen Elizabeth II in July 2000 after receiving Kennedy Center Honors in the US in 1999 .
101,"Blending psychological horror with film noir , the film stars Kyle MacLachlan , Isabella Rossellini , Dennis Hopper and Laura Dern ."
102,"Trained as a civil servant , he entered the country 's House of Representatives in 1943 for the True Whig Party , then the only established party in the country ."
103,"In wider Germanic mythology and paganism , Odin was known in Old English as Wōden , in Old Saxon as Wōdan , and in Old High German as Wuotan or Wōtan , all stemming from the reconstructed Proto-Germanic theonym wōđanaz ."
104,"He subsequently played d'Artagnan in 2011 's The Three Musketeers , starred in the coming-of-age dramas The Perks of Being a Wallflower  ( 2012 )  , Indignation  ( 2016 )  and Sidney Hall  ( 2017 )  , and had major roles in the 2014 films Noah and Fury ."
105,He was named to the All-Rookie team and the All-Star team the following twelve seasons .
106,George VI  ( Albert Frederick Arthur George ; 14 December 1895 -- 6 February 1952 )  was King of the United Kingdom and the Dominions of the British Commonwealth from 11 December 1936 until his death .
107,"Jon Watts  ( born June 28 , 1981 )  is an American film director , producer and screenwriter ."
108,"Seventeen years after beginning his mail bomb campaign , Kaczynski sent a letter to The New York Times on April 24 , 1995 and promised `` to desist from terrorism '' if the Times or The Washington Post published his manifesto , Industrial Society and Its Future  ( the `` Unabomber Manifesto '' )  , in which he argued that his bombings were extreme but necessary to attract attention to the erosion of human freedom necessitated by modern technologies requiring large-scale organization ."
109,"Gone Girl is a 2014 American psychological thriller film directed by David Fincher and written by Gillian Flynn , based on her 2012 novel of the same name ."
110,"Sigmund Freud  (  [ ` frɔɪd ]  ;  [ ˈziːkmʊnt ˈfʁɔʏt ]  ; born Sigismund Schlomo Freud ; 6 May 1856 -- 23 September 1939 )  was an Austrian neurologist and the founder of psychoanalysis , a clinical method for treating psychopathology through dialogue between a patient and a psychoanalyst ."
111,Wonder Woman is a fictional superhero appearing in American comic books published by DC Comics .
112,"He is best known for illustrating the American football manga Eyeshield 21 , in collaboration with writer Riichiro Inagaki ."
113,"He is known for his roles in television as Eric Brady in Days of Our Lives , which earned him several Daytime Emmy Award nominations , as well as Alec/X5 -494 in Dark Angel and Jason Teague in Smallville ."
114,"A hate group is a social group that advocates and practices hatred , hostility , or violence towards members of a race , ethnicity , nation , religion , gender , gender identity , sexual orientation or any other designated sector of society ."
115,"Aishwarya Rai  ( born 1 November 1973 )  , also known by her married name Aishwarya Rai Bachchan , is an Indian actress , model and the winner of the Miss World 1994 pageant ."
116,The character is voiced by Eddie Murphy .
117,"The school offers multiple undergraduate and graduate programs covering production , screenwriting , critical studies , animation and digital arts , and interactive media & games ."
118,Julie Frances Christie  ( born 14 April 1940 )  is an English actress .
119,"Redford 's career began in 1960 as a guest star on numerous TV shows , including : The Untouchables , Perry Mason , Alfred Hitchcock Presents , and The Twilight Zone , among others ."
120,Unforgettable is a 2017 American erotic thriller film directed by Denise Di Novi  ( in her directorial debut )  and written by Christina Hodson and David Leslie Johnson .
121,"Furia is a 1999 French romantic drama film directed by Alexandre Aja , who co-wrote screenplay with Grégory Levasseur , adapted from the science fiction short story `` Graffiti '' by Julio Cortázar ."
122,"At the beginning of her career , Gaga became known for her unconventionality and provocative work ."
123,"Stone Temple Pilots  ( sometimes abbreviated as STP )  are an American rock band from San Diego , California , that originally consisted of Scott Weiland  ( lead vocals )  , brothers Dean  ( guitar )  and Robert DeLeo  ( bass , backing vocals )  , and Eric Kretz  ( drums )  ."
124,"The French Revolution  ( Révolution française  [ ʁevɔlysjɔ̃ fʁɑ̃sɛːz ]  )  was a period of far-reaching social and political upheaval in France that lasted from 1789 until 1799 , and was partially carried forward by Napoleon during the later expansion of the French Empire ."
125,"A seven-time Academy Award nominee , she received her first nomination for They Shoot Horses , Do n't They  ( 1969 )  and went on to win two Best Actress Oscars in the 1970s for Klute  ( 1971 )  and Coming Home  ( 1978 )  ."
126,"King Kong is a 2005 epic monster adventure film co-written , produced , and directed by Peter Jackson ."
127,Winnipeg  (  [ ˈwɪnɪpɛɡ ]  )  is the capital and largest city of the province of Manitoba in Canada .
128,"Throughout his club career , he has only played for teams in Italy , previously playing for Atalanta , Fiorentina , Sampdoria , Internazionale and Milan ."
129,"Steven Vincent Buscemi  (  [ buːˈsɛmi ]  born December 13 , 1957 )  is an American actor and film director ."
130,"Dennis Lee Hopper  ( May 17 , 1936 -- May 29 , 2010 )  was an American actor , filmmaker , photographer and artist ."
131,"A Few Good Men is a 1992 American legal drama film directed by Rob Reiner and starring Tom Cruise , Jack Nicholson , and Demi Moore , with Kevin Bacon , Kevin Pollak , Wolfgang Bodison , James Marshall , J. T. Walsh and Kiefer Sutherland in supporting roles ."
132,She made her screen debut in the Australian drama film For Love Alone  ( 1986 )  and then appeared in the Australian television series Hey Dad .
133,"She released a single from an independent label called `` Swag It Out '' and another single with Bella Thorne called `` Watch Me , '' which is featured on the Break It Down album ."
134,It shares land borders with Scotland to the north and Wales to the west .
135,"Dwyane Tyrone Wade Jr.  (  [ dweɪn ]  ; born January 17 , 1982 )  is an American professional basketball player for the Chicago Bulls of the National Basketball Association  ( NBA )  ."
136,The Hangover Part III is a 2013 American comedy film produced by Legendary Pictures and distributed by Warner Bros. .
137,"Usher Raymond IV  ( born October 14 , 1978 )  is an American singer , songwriter , dancer , and actor ."
138,"His credits include NYPD Blue , ER , 24 , Alias , The Shield , Deadwood , and the documentaries An Inconvenient Truth , The Road We 've Traveled , Waiting for ` Superman ' and He Named Me Malala ."
139,"Margalit Ruth `` Maggie '' Gyllenhaal  (  [ ˈdʒɪlənhɑːl ]  born November 16 , 1977 in New York City )  is an American actress ."
140,"Silicon Valley is a nickname for the southern portion of the San Francisco Bay Area , in the northern part of the U.S. state of California ."
141,"In 2011 , Fanning starred in her breakout role as Alice Dainard in J. J. Abrams ' sci-fi-drama , Super 8 , for which she received a Spotlight Award at the Hollywood Film Festival , and was cited as one of the film 's best aspects by The Telegraph ."
142,"Mark Elliot Zuckerberg  ( born May 14 , 1984 )  is an American computer programmer and Internet entrepreneur ."
143,"Los Angeles  (  [ lɒs ˈændʒəlᵻs ]  , Spanish for `` The Angels '' ;  [ los ˈaŋxeles ]  )  , officially the City of Los Angeles and often known by its initials L.A. , is the cultural , financial , and commercial center of Southern California ."
144,"Eric Singer  ( born Eric Doyle Mensinger ; May 12 , 1958 )  is an American hard rock and heavy metal drummer , best known as a member of Kiss , portraying The Catman originally played by Peter Criss ."
145,"Established on 10 October 1845 , under Secretary of the Navy George Bancroft , it is the second oldest of the United States ' five service academies , and educates officers for commissioning primarily into the United States Navy and United States Marine Corps ."
146,"Lewis Carl Davidson Hamilton , MBE  ( born 7 January 1985 )  is a British Formula One racing driver from England , currently racing for the Mercedes AMG Petronas team ."
147,Timothy Henry `` Tim '' Henman  ( born 6 September 1974 )  is a retired English professional tennis player .
148,"McKenna is the writer of some of Communitys most critically acclaimed episodes , including `` Paradigms of Human Memory '' , `` Conspiracy Theories and Interior Design '' , and the Emmy - and Hugo-nominated `` Remedial Chaos Theory '' ."
149,Kate & Leopold is a 2001 romantic-comedy fantasy that tells a story of a duke who travels through time from New York in 1876 to the present and falls in love with a woman in modern New York .
150,is a Japanese manga and game artist .
151,The Twilight Saga is a series of five romance fantasy films from Summit Entertainment based on the four novels by American author Stephenie Meyer .
152,Boardwalk Empire is an American period crime drama television series created by Terence Winter and airing on premium cable channel HBO .
153,"Hefner is a native of Chicago , Illinois and a former journalist for Esquire ."
154,During her swimming career she was a member of the Canadian national team and won three national titles .
155,"George Walton Lucas Jr.  ( born May 14 , 1944 )  is an American filmmaker and entrepreneur ."
156,"Minneapolis  (  [ mɪniˈæpəlɪs ]  )  is the county seat of Hennepin County , and the larger of the Twin Cities , the 16th-largest metropolitan area in the United States ."
157,The X Factor is a British television music competition to find new singing talent .
158,"Seal Henry Olusegun Olumide Adeola Samuel  ( born 19 February 1963 )  , better known by his stage name Seal , is an English singer and songwriter ."
159,"She signed a recording contract with American rapper T.I. 's Grand Hustle Records imprint in 2012 , after gaining attention from her first full-length project , a mixtape titled Ignorant Art ."
160,The song features vocals from American rapper Ludacris .
161,"He has collaborated with his childhood friend Seth Rogen in several films , including Superbad  ( 2007 )   ( which they first conceived as teenagers )  , Pineapple Express  ( 2008 )  , This Is the End  ( 2013 )   ( their directorial debut )  , and The Interview  ( 2014 )  ."
162,Arjun Kapoor  (  [ ɐrˈɟun kəˈpuːr ]  ; born 26 June 1985 )  is an Indian actor who appears in Bollywood films .
163,"Graduate students may take a Master of Arts , Master of Science , Master of Fine Arts , Doctor of Arts , Doctor of Fine Arts , or Doctor of Philosophy degree ."
164,"Richard Stephen Dreyfuss  (  [ ˈdraɪfəs ]  originally Dreyfus ; born October 29 , 1947 )  is an American actor best known for starring in American Graffiti , Jaws , Stand By Me , Close Encounters of the Third Kind , Down and Out in Beverly Hills , The Goodbye Girl , Always , and Mr. Holland 's Opus ."
165,"He is the co-founder of Wikipedia , the online non-profit encyclopedia , and the for-profit web hosting company Wikia ."
166,He is known for playing Sheldon Cooper in the CBS sitcom The Big Bang Theory .
167,The modern Olympic Games or Olympics  ( Jeux olympiques )  are leading international sporting events featuring summer and winter sports competitions in which thousands of athletes from around the world participate in a variety of competitions .
168,"William Denby `` Bill '' Hanna  ( July 14 , 1910 -- March 22 , 2001 )  was an American animator , director , producer , voice actor , and cartoon artist , whose film and television cartoon characters entertained millions of people for much of the 20th century ."
169,"Rolling Stone magazine described them as `` the heaviest band of all time '' , `` the biggest band of the Seventies '' , and `` unquestionably one of the most enduring bands in rock history '' ."
170,"Serena has also won four Olympic gold medals , one in women 's singles and three in women 's doubles -- an all-time record shared with her sister , Venus ."
171,"Gwen Renée Stefani  (  [ gwɛn ˈstəˈfɑːni ]  born October 3 , 1969 )  is an American singer , songwriter , fashion designer , actress , and television personality ."
172,Margaret was often viewed as a controversial member of the British royal family .
173,Forty-eight of the fifty states and the federal district are contiguous and located in North America between Canada and Mexico .
174,He is best known for playing the role of Tormund Giantsbane in the HBO fantasy series Game of Thrones .
175,"She rose to fame in 2004 as a finalist on the third season of American Idol , coming in seventh place ."
176,The Punisher  ( Francis `` Frank '' Castle )  is a fictional character appearing in American comic books published by Marvel Comics .
177,"Matthew David McConaughey  (  [ məˈkɒnəheɪ ]  born November 4 , 1969 )  is an American actor ."
178,"Gianluigi `` Gigi '' Buffon  (  [ ˈdʒiːdʒi bufˈfɔn ]  , Ufficiale OMRI ; born 28 January 1978 )  is an Italian professional footballer who plays as a goalkeeper ."
179,"Vincent Anthony Vaughn  ( born March 28 , 1970 )  is an American actor , producer , screenwriter , activist , and comedian ."
180,"Crash is a 2004 American ensemble drama film co-written , produced , and directed by Paul Haggis ."
181,Wonder Woman is a fictional superhero appearing in American comic books published by DC Comics .
182,A Song of Ice and Fire is a series of epic fantasy novels by the American novelist and screenwriter George R. R. Martin .
183,Alan Sidney Patrick Rickman  ( 21 February 1946 -- 14 January 2016 )  was an English actor and director known for playing a variety of roles on stage and on screen .
184,"Charles Patrick Ryan O'Neal  ( born April 20 , 1941 )  , known professionally as Ryan O'Neal , is an American actor and former boxer ."
185,"The duo achieved both critical acclaim and commercial success in the 1990s and early 2000s , helping to popularize Southern hip hop while developing distinctive personas and experimenting with diverse genres such as funk , psychedelia , techno , and gospel ."
186,"His career began on the Off-Broadway stage and then in television in the 1980s , most notably as David Addison in Moonlighting  ( 1985 -- 1989 )  ."
187,"It features alumni from these two shows , in addition to first-time cast members called ` Fresh Meat ' , alumni from Are You the One ?"
188,"The films star Kristen Stewart , Robert Pattinson , and Taylor Lautner ."
189,Furious 7  ( alternatively known as Fast & Furious 7 and Fast 7 )  is a 2015 American action film directed by James Wan and written by Chris Morgan .
190,"The company began as an Internet merchant of books and expanded to a wide variety of products and services , most recently video streaming and audio streaming ."
191,`` Calling All the Monsters '' is a song performed by American pop recording artist China Anne McClain .
192,"In 1935 he played in a celebrated production of Romeo and Juliet alongside Gielgud and Peggy Ashcroft , and by the end of the decade he was an established star ."
193,"Bernard Lawrence `` Bernie '' Madoff  (  [ ˈmeɪdɒf ]  born April 29 , 1938 )  is an American fraudster and a former stockbroker , investment advisor , and financier ."
194,"Evolution is the second studio album by American singer Sabrina Carpenter , released on October 14 , 2016 , by Hollywood Records ."
195,"Remote Control Productions has been responsible for the scores for a number of successful live-action films including the Pirates of the Caribbean movies , Iron Man , Gladiator , Mission : Impossible 2 , The Last Samurai , Transformers , Hancock , Kingdom of Heaven , The Da Vinci Code , Inception , Sherlock Holmes and its sequel , and The Dark Knight Trilogy , along with successful animated films such as the Shrek series , Kung Fu Panda , Madagascar , The Lion King , and more ."
196,"Born and raised in England , Martin has competed for Ireland since 2006 ."
197,"In 1991 , he released a self-titled debut album and charted four singles in Australia before moving to the United States the following year ."
198,"Robert Francis `` Bobby '' Kennedy  ( November 20 , 1925 -- June 6 , 1968 )  , commonly known by his initials RFK , was an American politician from Massachusetts ."
199,"She gained worldwide recognition for her ten-season run as Phoebe Buffay and Ursula Buffay on the television sitcom Friends , for which she received many accolades , including six Emmy Award nominations , winning once in 1998 , and twelve Screen Actors Guild Award nominations , winning twice in 1996 and 2000 ."
200,"Oz the Great and Powerful  ( working title Brick )  is a 2013 American fantasy adventure film directed by Sam Raimi and produced by Joe Roth , from a screenplay written by David Lindsay-Abaire and Mitchell Kapner ."
201,"Event management is the application of project management to the creation and development of large scale events such as festivals , conferences , ceremonies , formal parties , concerts , or conventions ."
202,"This film also stars Alicia Silverstone , Andie MacDowell , Mena Suvari , Kevin Bacon and Djimon Hounsou ."
203,"The university is made up of a variety of institutions , including 38 constituent colleges and a full range of academic departments which are organised into four divisions ."
204,"Alexander Emmanuel Rodriguez  ( born July 27 , 1975 )  , nicknamed `` A-Rod '' , is a Dominican-American former professional baseball shortstop and third baseman ."
205,"Naruto : Shippuden , a sequel to the original series , aired from February 15 , 2007 , to March 23 , 2017 , with 500 episodes ."
206,"The console optionally included a redesigned Kinect sensor , marketed as the `` Kinect 2.0 '' , providing improved motion tracking and voice recognition for use in its graphical user interface  ( GUI )  and games ."
207,"Thirteen is a 2003 American semi-autobiographical drama film , directed by Catherine Hardwicke , and written by Hardwicke and Nikki Reed , based on events from Reed 's life at age 12 and 13 ."
208,"Redford 's career began in 1960 as a guest star on numerous TV shows , including : The Untouchables , Perry Mason , Alfred Hitchcock Presents , and The Twilight Zone , among others ."
